0,class
TV,Entertainment
Wifi,Internet
"""Air conditioning""",Temperature Control
Kitchen,Kitchen
Elevator,Accessibility
Heating,Temperature Control
Washer,Kitchen
Essentials,Services
Shampoo,Bathroom Essentials
Hangers,Wardrobe Essentials
"""Hair dryer""",Bathroom Essentials
Iron,Wardrobe Essentials
"""Bed linens""",Wardrobe Essentials
Refrigerator,Kitchen
Stove,Kitchen
Breakfast,Meal Included
"""Fire extinguisher""",Security
"""Lock on bedroom door""",Security
"""Laptop friendly workspace""",Work Friendly
"""Private living room""",Other
"""Private entrance",Other
"""Smoke detector""",Security
"""First aid kit""",Bathroom Essentials
"""Self check-in""",Services
"""Building staff""",Other
"""Paid parking off premises""",Parking
"""Free street parking""",Parking
Lockbox,Other
"""Hot water""",Other
"""Extra pillows and blankets""",Wardrobe Essentials
"""Coffee maker""",Kitchen
"""Dishes and silverware""",Kitchen
"""Cooking basics""",Kitchen
"""Luggage dropoff allowed""",Services
"""Wide hallway clearance""",Accessibility
"""Step-free access""",Accessibility
"""Well-lit path to entrance""",Accessibility
"""Step-free access",Accessibility
"""Pets allowed""",Pet Friendly
"""Host greets you",Services
"""Carbon monoxide detector""",Security
"""Pack ’n Play/travel crib""",Kids Friendly
Microwave,Kitchen
"""Luggage dropoff allowed",Services
"""Free parking on premises""",Parking
"""Smoking allowed""",Services
,Other
"""Laptop friendly workspace",Work Friendly
Dryer,Bathroom Essentials
"""Cooking basics",Kitchen
"""Cable TV""",Entertainment
Crib,Kids Friendly
"""Room-darkening shades""",Other
"""Ethernet connection""",Other
Oven,Kitchen
"""Patio or balcony""",Facilities
"""Long term stays allowed",Other
"""Family/kid friendly""",Kids Friendly
Bathtub,Facilities
"""Patio or balcony",Facilities
"""Private entrance""",Facilities
"""Garden or backyard""",Facilities
"""Babysitter recommendations""",Kids Friendly
"""Cleaning before checkout""",Services
"""Wide doorway""",Accessibility
"""Flat path to front door""",Accessibility
Internet,Internet
"""24-hour check-in""",Services
"""Long term stays allowed""",Other
"""Hot tub""",Facilities
"""Well-lit path to entrance",Accessibility
"""Paid parking on premises",Parking
Dishwasher,Kitchen
"""Hot water",Bathroom Essentials
"""Accessible-height bed""",Accessibility
"""Bathtub with bath chair""",Accessibility
"""Accessible-height toilet""",Accessibility
"""Wide entryway""",Accessibility
"""Extra pillows and blankets",Wardrobe Essentials
"""Wide clearance to bed""",Accessibility
"""High chair""",Other
"""Single level home""",Accessibility
"""Wide clearance to shower",Accessibility
" toilet""",Bathroom Essentials
"""Handheld shower head""",Bathroom Essentials
"""Paid parking on premises""",Parking
"""Fixed grab bars for shower",Accessibility
Gym,Facilities
"""Bed linens",Wardrobe Essentials
"""Suitable for events""",Other
"""Stair gates""",Other
"""Window guards""",Kids Friendly
"""Handheld shower head",Bathroom Essentials
"""BBQ grill""",Kitchen
"""Baby monitor""",Kids Friendly
"""Baby bath""",Kids Friendly
"""Indoor fireplace""",Temperature Control
"""Safety card""",Security
"""Outlet covers""",Kids Friendly
"""Children’s books and toys""",Kids Friendly
"""Roll-in shower",Accessibility
Keypad,Security
Other,Other
"Air conditioning""",Temperature Control
"""Host greets you""",Services
"""Fixed grab bars for shower""",Accessibility
"""Fixed grab bars for toilet",Accessibility
Pool,Facilities
